# Kepler Asteroseismic Data
# KASOC Corrected data, by Rasmus Handberg
# Created on 2014-09-07
# KIC:       3457618
# KOI:       0
# Version:   1 (Q0-Q17)
# Unique ID: 7680982
# Periods:   None
# 
# Column 1: Time (truncated barycentric julian date)
# Column 2: Relative flux (ppm)
# Column 3: Flux error (ppm)
#---------------------------
  54953.5389647   7.3315484450464646e+02   5.2373334257545673e+02
  54953.5593993   7.1970092910622623e+02   5.7120468097423350e+02
  54953.5798339   7.7779660020960148e+02   5.8055513403689918e+02
  54953.6002686   6.8923956779376465e+02   5.8277909832412024e+02
  54953.6207032   4.4112113116523409e+02   5.8388397263959143e+02
  54953.6411378   2.9352799814463816e+02   5.8458707447670963e+02
  54953.6615724   2.0000407010978273e+02   5.8507383728702223e+02
  54953.6820071   3.3125206799433647e+02   5.8543079668125142e+02
  54953.7024417   4.8889337474511410e+02   5.8570376562977970e+02
  54953.7228763   6.0837783439082750e+02   5.8591926743124941e+02
  54953.7433110   7.6944967977521378e+02   5.8614971901324202e+02
  54953.7637456   9.0547258210249561e+02   5.8688285767564673e+02
  54953.7841802   1.0926646613742541e+03   5.8749869415206672e+02
  54953.8046148   1.0316630832361006e+03   5.8802329559494308e+02
  54953.8250495   1.0066770890548860e+03   5.8804506893613120e+02
  54953.8454841   1.0026247796492971e+03   5.8806403281394034e+02
  54953.8659187   1.1085161999819793e+03   5.8808069803989372e+02
  54953.8863535   1.1077523542255551e+03   5.8809545866859537e+02
  54953.9067880   9.3641440254144118e+02   5.8810862355365350e+02
  54953.9272226   1.0467122411295104e+03   5.8812043819409041e+02
  54953.9476574   1.1131285065653085e+03   5.8813110018667976e+02
  54953.9680919   1.1317043216272359e+03   5.8843108685850382e+02
  54953.9885265   1.1566160815321691e+03   5.8870440804838790e+02
  54954.0089611   9.8628706455894394e+02   5.8868885915450653e+02
  54954.0293958   7.6866394363639404e+02   5.8867457955808482e+02
  54954.0498304   6.1033975129620717e+02   5.8863836203595372e+02
  54954.0702651   7.3661004934244545e+02   5.8860487791171931e+02
  54954.0906997   4.8510931140866023e+02   5.8857382899652021e+02
  54954.1111343   3.3698107606272566e+02   5.8854495895256321e+02
  54954.1315690   1.9749538006408329e+02   5.8852801189969523e+02
  54954.1520035   2.6399903339968665e+02   5.8857297741738898e+02
  54954.1724382   1.7979422500347118e+02   5.8876370237654783e+02
  54954.1928729   1.2704651964767777e+02   5.8879864877078808e+02
  54954.2133074   1.0466231710881679e+02   5.8876905958607585e+02
  54954.2337421   1.4440366676660153e+02   5.8868742031591353e+02
  54954.2541768   2.3857820076123028e+02   5.8857936800966900e+02
  54954.2746113   2.6794017199960331e+02   5.8847723637773913e+02
  54954.2950459   2.3951191247872927e+02   5.8838884847252189e+02
  54954.3154807   4.2399013930993766e+02   5.8835278740029923e+02
  54954.3359153   7.8357755118596549e+02   5.8834871721212869e+02
  54954.3563498   1.0731632403702117e+03   5.8846406647809374e+02
  54954.3767846   1.2594828224363753e+03   5.8849865427836505e+02
  54954.3972192   1.1714116696293077e+03   5.8848238973259015e+02
  54954.4176537   1.1356204461678842e+03   5.8842423145748398e+02
  54954.4380884   1.1145753364973921e+03   5.8834394678302885e+02
  54954.4585231   9.6659728536407920e+02   5.8828086699482924e+02
  54954.4789576   8.0135121893909479e+02   5.8819373674695157e+02
  54954.4993923   5.3876200377422913e+02   5.8811027514108980e+02
  54954.5198269   4.0128116817017553e+02   5.8803025525093346e+02
  54954.5402616   2.0826588439493145e+02   5.8779432171833355e+02
  54954.5606963  -6.3493072365861103e+01   5.8756332972485757e+02
  54954.5811308  -1.0597073267304413e+02   5.8729880277651989e+02
  54954.6015655  -3.0433446585542703e+02   5.8703387992989371e+02
  54954.6220002   8.5884599224428371e+01   5.8677886074108551e+02
  54954.6424347   2.6427908114357024e+02   5.8653154483340086e+02
  54954.6628693   5.1725999648266634e+02   5.8628709096934176e+02
  54954.6833041   9.5011928405175365e+02   5.8604011426227885e+02
  54954.7037386   1.0694133659920890e+03   5.8578775708020430e+02
  54954.7241732   1.3074704396029979e+03   5.8553689140508527e+02
  54954.7446080   1.2369684794752977e+03   5.8526119612012781e+02
  54954.7650425   1.2872052043169101e+03   5.8496267946628052e+02
  54954.7854771   1.1966025393108648e+03   5.8467387067109519e+02
  54954.8059118   9.6617520161301763e+02   5.8440976042445755e+02
  54954.8263464   8.5552715444192631e+02   5.8416918186580642e+02
  54954.8467810   5.9566279457423650e+02   5.8393606310742359e+02
  54954.8672157   4.7409822351651701e+02   5.8368056502276636e+02
  54954.8876503   4.1241326572372117e+02   5.8343275109103115e+02
  54954.9080849   4.4915145885116027e+02   5.8320659152310839e+02
  54954.9285196   3.8387438980347355e+02   5.8311766154930422e+02
  54954.9489541   4.2775020110297214e+02   5.8294366812229600e+02
  54954.9693888   4.7277460492001211e+02   5.8278657339912377e+02
  54954.9898235   6.2318598002386591e+02   5.8263390387942115e+02
  54955.0102580   7.4855687503738727e+02   5.8248547517971042e+02
  54955.0306927   9.7924189910569839e+02   5.8234111301971757e+02
  54955.0511274   1.0838399530153088e+03   5.8220586699269825e+02
  54955.0715620   1.1450203022098649e+03   5.8208264683783727e+02
  54955.0919965   9.9843042675540335e+02   5.8196590061912752e+02
  54955.1124313   9.4958996414162834e+02   5.8184899743417941e+02
  54955.1328659   6.6383247378176691e+02   5.8173824021343228e+02
  54955.1533004   5.2486838054321970e+02   5.8163028697295726e+02
  54955.1737352   3.1281095799973178e+02   5.8152196282802186e+02
  54955.1941698  -2.8137418522145019e+01   5.8140851769459300e+02
