id T_eff delta_nu delta_nu_err nu_max nu_max_err  mag
9942816 4982 4.45 0.10 40.23 0.97 11.541
9882446 4739 4.97 0.10 49.53 1.17 10.582
9882316 5170 13.63 0.24 181.05 3.58 12.020
9941713 4775 4.73 0.11 47.75 1.21 12.249
9881167 4705 3.84 0.09 32.70 0.93 11.513
9942071 4818 4.09 0.08 35.26 0.87 12.155
9941242 4413 2.28 0.07 16.23 0.46 11.998
9941141 4715 7.93 0.15 88.72 1.68 11.408
9820702 4858 5.95 0.12 61.14 1.78 10.236
8479182 4668 3.95 0.09 33.92 1.00 11.415
8414512 4643 4.06 0.09 33.64 1.20 12.467
8543200 4968 4.44 0.10 40.75 1.14 9.401
8607581 4871 4.35 0.10 35.83 1.26 10.667
8673221 4875 3.99 0.10 36.95 1.11 9.745
8737032 4737 4.43 0.09 42.28 0.90 10.197
8802374 4677 3.60 0.08 31.65 0.72 10.954
8867740 4551 2.94 0.08 22.20 0.73 11.590
8543569 4742 8.86 0.17 96.31 1.96 12.338
8479383 4648 4.04 0.09 32.05 0.78 10.232
8868800 4735 4.01 0.09 33.55 0.75 12.327
8803432 4732 3.98 0.09 31.88 0.70 11.963
8738333 4646 5.87 0.14 60.46 1.34 12.620
8480205 4596 5.21 0.11 49.39 1.32 12.278
8480097 4790 15.36 1.36 197.78 3.75 12.047
8479780 5016 4.37 0.09 40.15 0.88 11.368
8544483 4703 5.74 0.15 54.66 1.34 12.423
8738834 4639 3.81 0.08 31.86 0.93 10.551
8869611 4646 8.84 0.17 95.82 1.89 12.279
8804395 4632 3.24 0.11 25.41 0.77 11.736
8870432 4607 4.21 0.10 44.85 0.81 9.780
8675106 4681 6.64 0.12 72.13 1.80 10.607
8870850 4811 4.01 0.11 34.92 1.00 12.207
8804886 4646 4.13 0.09 34.00 0.90 12.375
8611394 4851 9.64 0.18 106.53 2.58 12.015
8676094 4491 3.52 0.07 28.87 0.72 11.140
8611114 4747 4.22 0.09 34.27 0.97 10.649
8740476 4740 4.12 0.09 36.61 1.06 12.216
8805565 4495 3.96 0.11 34.76 1.98 10.482
8805663 4923 4.51 0.11 49.25 1.20 10.593
8611833 4856 4.05 0.09 38.08 0.93 11.942
8612585 4497 3.45 0.07 28.96 0.63 12.587
8676927 4900 4.28 0.19 42.12 1.31 10.141
8612520 4708 4.20 0.08 41.53 1.23 11.725
8676988 4841 4.34 0.09 38.97 1.29 12.501
8872046 4643 6.46 0.13 64.86 1.32 12.209
8872709 4875 4.37 0.10 38.63 1.97 9.778
8872979 5091 6.39 0.13 77.05 2.00 10.760
8612811 4897 4.10 0.08 33.10 0.86 12.040
8613617 4922 13.43 0.27 169.45 3.70 11.585
8613617 4922 13.43 0.27 169.45 3.70 13.683
8677701 4417 3.64 0.08 30.38 1.02 12.455
8741733 4693 4.32 0.09 38.57 1.31 12.461
8873797 4687 3.83 0.08 30.56 1.16 11.908
8742013 4729 3.16 0.07 25.12 0.62 10.632
8677342 4743 5.18 0.10 51.30 1.11 11.295
8742545 4961 12.09 0.23 140.80 2.69 11.451
9009805 4747 5.20 0.11 49.72 1.05 11.879
9077844 4716 4.72 0.14 47.07 1.10 10.194
8941202 4825 4.11 0.10 34.03 0.81 11.764
8081069 4705 4.10 0.11 34.41 0.89 12.444
8081278 4523 3.82 0.09 33.81 0.73 11.647
8217514 4515 3.78 0.08 31.47 1.31 12.287
8348568 4843 4.02 0.11 33.97 1.39 12.386
8283646 4699 6.06 0.13 66.02 1.44 11.466
8283356 4704 11.11 0.25 133.38 3.06 11.630
8081853 4251 1.26 0.07 7.01 0.36 11.607
7944038 4512 2.27 0.07 19.86 0.60 9.451
8081535 4673 4.53 0.11 42.24 0.94 11.176
7944193 4662 3.60 0.11 28.05 1.70 12.184
8415501 4611 3.59 0.08 31.48 0.79 11.788
8350443 4703 3.98 0.11 31.72 0.78 10.781
8350645 4577 5.21 0.11 54.27 1.15 10.820
8283958 4640 4.05 0.11 37.24 1.47 10.354
8284032 4706 4.26 0.09 38.23 1.10 11.697
8218568 4850 9.80 0.21 116.51 2.97 12.326
8082494 4635 3.80 0.08 32.49 1.27 12.159
8545291 4665 5.81 0.15 55.10 1.15 11.201
8545504 4919 9.20 0.17 108.37 2.43 11.689
8481174 4537 3.44 0.08 27.45 1.27 12.464
8219125 4556 6.28 0.14 63.12 1.67 11.953
8285025 4403 2.05 0.05 15.29 0.42 11.846
8284682 4575 3.55 0.07 29.65 0.67 10.829
8219000 4572 4.66 0.12 42.81 1.00 12.489
8285510 4679 3.06 0.07 24.46 1.09 10.169
8151314 4738 4.11 0.09 34.51 1.19 12.440
8547669 4487 3.22 0.08 27.40 0.70 12.217
8547469 4741 3.86 0.09 30.08 0.86 11.852
8482769 4762 3.91 0.09 28.61 0.81 12.098
8418437 5117 3.98 0.20 27.69 0.81 12.174
9330758 4720 4.26 0.10 38.11 1.04 12.226
9269772 4588 5.88 0.12 57.79 1.28 11.512
9270087 4731 4.08 0.12 36.17 0.83 12.008
9143834 4528 2.27 0.05 15.82 0.35 11.807
9143868 4629 4.22 0.10 35.96 1.48 10.953
9143924 4454 1.60 0.04 9.74 0.72 12.128
9008270 4835 3.99 0.09 34.47 1.22 10.372
8939964 4832 3.96 0.11 29.42 1.19 12.038
8940098 4776 4.17 0.09 34.09 0.73 12.241
9269081 4978 2.83 0.10 25.30 1.27 12.042
9269302 4856 4.05 0.08 36.15 0.75 11.973
9392039 4797 4.04 0.09 36.49 0.75 11.563
9269234 4634 9.82 0.20 113.47 2.34 12.536
9075872 4924 13.24 0.28 156.37 3.16 11.889
9142574 4842 3.74 0.10 26.77 0.67 11.496
