id nu_max nu_max_err delta_nu delta_nu_err mag T_eff
8482522 32.68 1.45 3.95 0.11 11.68 4607
8547469 30.08 0.86 3.86 0.09 11.85 4828
9330758 38.11 1.04 4.26 0.10 12.23 5039
9269772 57.79 1.28 5.88 0.12 11.51 4687
9270087 36.17 0.83 4.08 0.12 12.01 4860
9143868 35.96 1.48 4.22 0.10 10.95 4762
9008270 34.47 1.22 3.99 0.09 10.37 4852
8940098 34.09 0.73 4.17 0.09 12.24 4974
9269302 36.15 0.75 4.05 0.08 11.97 5014
9392039 36.49 0.75 4.04 0.09 11.56 4983
9007718 35.36 0.76 3.99 0.08 12.52 4758
9268146 30.83 0.82 3.60 0.08 12.02 4633
9075225 55.18 1.17 5.36 0.11 10.09 4840
9329058 41.26 1.19 4.52 0.09 10.34 4921
9329200 74.65 1.49 6.79 0.13 11.20 4736
9327993 34.68 2.09 3.91 0.09 9.81 4603
9139859 72.71 1.74 6.81 0.13 11.64 4639
9265513 48.21 0.96 5.36 0.11 11.89 4784
8936339 44.03 1.07 4.62 0.10 12.11 4950
9003765 59.22 1.22 6.02 0.13 11.48 4728
8936104 30.58 2.03 3.75 0.09 12.41 4601
8936084 31.97 0.88 4.15 0.09 12.03 5060
9264889 82.48 1.60 7.40 0.19 12.13 5001
9326421 68.44 2.26 6.73 0.14 12.36 4772
9072262 37.86 1.10 4.49 0.10 11.87 4939
9002344 43.41 1.21 4.37 0.09 11.63 4762
9071238 51.37 1.17 5.37 0.11 12.49 4643
8671819 30.24 0.65 4.04 0.09 11.54 4873
9515026 40.17 0.84 4.54 0.13 12.42 4902
9453362 35.26 1.97 4.18 0.09 11.39 5051
9392274 43.90 1.20 4.82 0.10 12.31 4838
9513787 30.30 0.71 3.83 0.12 12.18 4793
9575645 46.38 1.42 4.72 0.11 9.49 4795
9637054 43.28 0.91 4.48 0.11 12.49 4808
9818513 32.24 1.12 3.83 0.08 11.71 4622
9818604 30.21 0.63 3.48 0.07 11.09 4442
9574730 48.07 1.57 4.83 0.13 9.74 4785
9451999 34.11 0.91 4.23 0.08 11.10 5059
9635603 32.21 0.65 4.13 0.10 11.69 4957
9697074 33.28 0.75 3.89 0.11 12.60 4750
9328682 47.64 1.08 4.70 0.12 9.91 4979
9635388 39.84 1.34 4.43 0.10 11.38 4768
9634962 34.65 0.86 3.98 0.10 9.50 4639
9511938 48.32 0.99 4.88 0.11 11.33 4616
9449413 54.08 1.31 5.60 0.14 12.49 4782
9902962 75.64 1.66 6.69 0.12 11.82 5268
10023439 64.84 1.46 6.47 0.13 11.22 4710
10087394 57.71 1.28 5.93 0.13 10.86 4778
10286378 32.46 0.96 4.15 0.10 12.10 4916
10286616 33.63 1.40 4.00 0.08 11.67 5044
10220795 47.37 1.03 4.85 0.11 10.50 4983
9903915 67.36 1.57 5.95 0.12 11.30 4893
9904563 38.63 1.22 4.25 0.08 11.82 4945
10155731 35.85 1.20 4.24 0.11 11.03 4965
10156597 68.54 3.12 6.65 0.13 11.85 4838
10090400 33.21 1.24 3.82 0.10 11.37 4595
10290457 31.17 0.69 4.00 0.09 11.54 4720
10157507 67.02 1.37 6.60 0.13 10.59 4905
10223027 55.72 1.71 5.77 0.15 11.85 4672
10224535 37.37 0.94 4.24 0.10 11.36 4820
10159217 54.36 1.32 5.36 0.14 11.67 4739
10225706 51.43 1.60 4.92 0.14 12.04 4598
9967351 59.62 1.97 5.63 0.13 10.84 4903
9966823 32.71 1.23 4.01 0.09 11.70 4713
10161092 44.34 1.90 4.42 0.10 11.93 4806
10093930 33.70 1.22 4.02 0.09 9.67 4635
10161943 59.65 1.16 6.21 0.12 11.62 4741
10095427 57.25 1.21 6.09 0.15 9.64 4742
10095409 38.60 1.47 4.14 0.09 11.69 4596
10359999 45.27 0.96 4.82 0.14 9.25 4901
9791929 45.53 1.25 4.58 0.11 11.19 4438
9851743 43.72 1.51 4.65 0.09 10.46 4625
10228836 55.60 2.65 5.12 0.10 12.19 4858
10162765 83.24 3.71 7.76 0.74 11.12 4817
10229796 48.44 2.08 4.82 0.12 10.60 4763
10426854 38.80 1.13 4.27 0.10 9.94 4731
10362043 39.07 0.84 4.50 0.11 10.45 4802
10363172 43.02 1.76 4.33 0.20 12.55 4775
9662343 43.70 1.16 4.87 0.22 11.55 4951
9479404 84.76 2.02 6.96 0.13 9.83 4847
9782817 51.89 2.17 5.47 0.12 11.84 4779
9783226 53.60 1.37 5.30 0.10 9.85 4645
9843358 31.67 0.90 4.04 0.10 11.22 4792
9662395 48.77 1.04 4.42 0.10 11.45 4840
9724324 40.65 0.81 4.58 0.09 11.19 4761
9724882 36.88 0.88 4.40 0.12 11.36 4938
9602917 31.66 0.67 3.95 0.09 9.90 4744
9846877 36.80 0.95 4.39 0.13 11.74 4802
9906278 44.55 1.60 4.62 0.11 11.46 4925
9846355 32.00 0.93 3.91 0.12 9.53 4588
9786625 45.84 1.06 4.63 0.10 11.70 4639
9605294 30.44 0.93 3.97 0.12 11.30 4738
9604524 46.70 1.05 4.64 0.10 10.75 4609
9787503 32.48 1.84 3.96 0.09 11.99 4676
9727392 39.26 1.06 4.42 0.09 10.93 4941
9728284 48.33 1.94 4.88 0.11 11.40 4676
9727675 68.43 2.68 6.00 0.12 11.68 4790
9667930 67.75 1.81 6.06 0.14 9.90 4923
9788834 31.59 1.14 3.78 0.09 11.50 4618
9909804 37.26 0.83 4.42 0.14 10.75 4730
9970830 52.00 1.68 5.06 0.13 10.03 4780
9790050 55.72 1.25 5.28 0.10 10.65 4689
9910166 33.65 0.92 3.41 0.08 11.90 4681
10817660 48.96 1.55 4.78 0.10 10.88 4826
10880958 33.23 1.20 4.10 0.10 10.56 4699
10684837 88.09 2.49 7.06 0.12 10.64 5106
10554179 31.78 2.71 3.29 0.87 10.08 5003
10553844 59.32 2.23 5.76 0.12 11.10 4850
10879372 35.11 1.83 3.73 0.11 10.14 4530
10683647 36.96 0.98 4.08 0.09 10.18 4584
10816214 46.18 0.94 4.79 0.11 11.45 4871
10816748 32.16 0.79 3.79 0.10 11.72 4751
10226276 60.59 1.39 5.99 0.12 10.05 4608
10357764 41.73 1.37 4.48 0.09 10.79 4716
10358632 33.30 1.23 4.11 0.10 11.29 4804
10552202 38.94 0.84 4.37 0.09 11.65 4859
10489073 34.57 0.81 4.07 0.08 11.75 4621
10552614 43.94 0.92 4.62 0.10 11.35 4989
10618005 31.13 0.79 3.81 0.09 11.72 4859
10747862 30.79 0.81 3.71 0.14 11.37 4665
10420822 76.15 1.73 6.63 0.12 10.89 4995
10355672 36.29 0.96 4.06 0.08 10.49 4663
10290315 37.95 1.28 4.28 0.12 12.00 4754
10614707 35.04 1.02 4.17 0.08 10.93 4964
10485765 63.84 1.38 6.05 0.12 11.48 4802
10482750 36.39 0.85 3.86 0.12 11.86 4791
10678016 30.93 1.54 3.72 0.09 11.79 4733
10546977 42.79 1.37 4.34 0.09 11.33 4787
10613112 45.92 0.98 4.59 0.11 11.75 5014
10353044 33.43 0.91 4.11 0.09 10.93 4901
10352615 62.28 2.71 5.67 0.14 10.82 4884
10545152 35.00 2.80 4.54 0.32 10.44 4789
10480806 67.76 3.23 6.46 0.12 10.79 4799
10285722 50.37 1.27 4.98 0.10 10.40 4803
10482001 55.20 1.28 5.04 0.10 10.50 4849
10416550 47.81 1.16 5.01 0.11 11.45 4812
10086465 40.65 2.00 4.35 0.08 11.39 4960
10152909 77.42 1.74 7.47 0.17 11.84 4792
10991271 76.81 3.96 6.39 0.11 11.45 4958
11045572 63.30 1.38 6.01 0.15 11.25 4680
11152823 45.19 1.66 4.44 0.08 10.36 4846
11152753 44.04 1.25 4.62 0.11 11.48 4879
10992711 34.91 0.87 4.04 0.10 9.94 4572
10936814 37.44 0.83 4.28 0.09 10.79 4845
10991398 34.00 2.24 4.11 0.09 9.68 4780
10991673 40.86 0.96 4.38 0.08 11.34 4683
11204531 40.92 1.11 4.21 0.08 10.74 4769
11044315 61.30 1.30 5.21 0.12 10.92 5057
11152312 33.91 0.87 4.05 0.09 11.47 4894
10935853 64.72 2.48 5.92 0.16 11.56 4928
10934758 47.90 1.03 4.58 0.16 10.60 4774
11043208 52.67 1.19 5.40 0.11 11.94 4616
10989210 52.93 2.27 4.72 0.10 10.10 5012
10812837 57.66 1.49 5.41 0.10 9.23 4915
10873444 56.44 1.73 5.44 0.11 10.26 4827
10743515 45.06 1.02 4.53 0.09 11.74 4745
10809457 36.64 1.69 4.37 0.09 11.55 4813
9024483 32.39 1.46 3.93 0.08 11.90 4652
8955683 47.16 2.45 4.71 0.44 11.21 4821
9025029 39.68 0.92 4.38 0.10 10.75 4832
9220076 33.60 0.95 4.14 0.15 11.37 4829
9406596 33.50 0.90 3.91 0.11 9.92 4622
9283816 43.02 0.88 4.63 0.11 10.73 4963
9283918 52.03 1.30 4.89 0.11 10.85 4951
9025882 34.59 0.85 4.16 0.11 11.19 4519
9408590 44.47 1.61 4.51 0.11 9.70 4771
9346602 55.58 1.23 5.00 0.11 10.51 4967
9222389 31.11 1.01 3.57 0.07 11.64 4806
9027245 49.31 1.05 5.36 0.12 11.88 4607
9409513 71.17 1.72 6.03 0.14 10.29 5031
9027871 42.91 1.23 4.25 0.10 11.37 4626
9350701 58.37 1.70 5.60 0.12 11.41 4982
9350031 52.57 1.04 5.74 0.12 11.58 4639
9411366 49.59 1.11 5.01 0.10 11.65 4893
9226335 52.44 2.35 4.54 0.08 9.87 4958
9226481 38.86 1.00 4.25 0.09 12.10 4651
9100444 51.76 1.32 5.11 0.10 11.05 4800
9163785 46.47 1.01 4.74 0.12 11.37 4910
9351617 39.54 1.10 4.35 0.08 11.54 4866
9351186 33.73 0.97 3.87 0.13 11.11 4686
9414102 36.41 1.09 3.91 0.08 12.02 4588
9291624 34.77 0.83 4.04 0.08 12.07 4664
9034557 41.99 1.35 4.31 0.09 11.48 4737
9229601 46.00 1.04 4.70 0.09 11.63 4874
9291249 44.72 1.06 4.55 0.10 11.44 4688
9291830 45.98 1.30 4.40 0.09 11.02 4960
9291976 31.41 0.75 3.93 0.08 11.61 4740
9292180 56.12 3.44 5.39 0.11 11.93 4597
9353187 78.91 2.83 6.57 0.16 11.02 5118
8564559 44.31 1.23 4.68 0.09 11.52 4858
8693004 34.19 0.78 3.61 0.09 10.86 4632
8693018 87.78 1.90 7.04 0.18 11.43 5078
8628585 36.37 0.77 4.11 0.08 11.95 4797
8757215 35.30 0.73 4.27 0.10 12.04 4840
8822689 54.79 1.39 5.04 0.09 10.94 4911
8957543 37.65 1.59 4.01 0.11 11.75 4710
8822878 36.51 1.48 4.10 0.09 11.75 4706
8758700 30.89 0.70 3.92 0.08 11.86 4790
8824452 51.25 1.12 5.49 0.15 10.90 4723
8824264 33.70 1.55 4.14 0.10 11.10 4888
8890410 60.82 1.87 5.41 0.10 11.04 5026
8565016 60.96 1.54 6.03 0.16 11.28 4627
9028321 46.33 1.11 4.72 0.11 11.41 4600
8959259 76.82 1.97 6.74 0.14 11.84 4637
8759811 53.30 1.44 5.23 0.12 11.01 4876
8759746 45.98 1.09 4.79 0.10 11.20 4728
8759207 81.23 1.64 7.25 0.17 10.97 5032
9028697 59.24 1.07 5.90 0.12 11.85 4671
8825444 84.32 2.36 6.53 0.11 11.00 4954
9029195 42.41 0.90 4.71 0.14 10.93 4831
8826079 33.01 0.76 4.17 0.12 11.40 4815
8962844 41.43 1.07 4.46 0.10 11.74 4784
8962923 81.21 2.17 6.82 0.13 11.12 5038
8827646 33.24 0.75 3.97 0.09 11.97 4778
8827934 56.76 2.48 5.38 0.10 10.80 4838
8761471 38.61 2.31 4.36 0.10 11.42 4795
8826496 43.88 0.81 4.63 0.11 11.77 4814
9032691 35.31 0.87 4.10 0.10 11.21 4773
8964218 31.33 0.74 3.60 0.07 11.58 4391
9658002 35.34 1.00 4.10 0.09 11.37 4569
9780183 30.49 0.77 3.78 0.08 10.98 4745
9839918 47.44 1.39 5.13 0.31 10.55 4731
9839246 44.27 0.99 4.58 0.11 11.12 4815
9597214 43.27 1.10 4.57 0.11 11.13 4834
9658793 40.50 0.98 4.45 0.10 10.53 4712
9597524 37.96 1.09 4.22 0.08 12.00 4766
9535050 45.30 1.08 4.52 0.09 10.21 4965
9535399 58.26 1.56 5.75 0.11 9.65 4571
9412408 34.58 0.85 4.21 0.09 10.98 4853
9596639 30.49 0.89 3.71 0.08 11.52 4767
9718024 33.76 0.81 4.07 0.10 10.72 5022
9838978 32.99 0.69 4.00 0.09 12.02 4851
9778288 58.34 1.15 5.14 0.09 11.95 4890
9472481 62.31 1.89 5.40 0.14 9.99 4953
9777536 45.42 0.89 4.67 0.09 11.85 4878
9716866 32.05 0.83 3.73 0.09 11.77 4632
9656523 33.75 1.56 4.02 0.10 11.80 4671
9470276 75.26 1.81 7.00 0.14 11.48 4761
9532518 31.13 1.92 3.96 0.09 10.13 4861
9471284 40.49 1.42 4.28 0.09 11.33 4848
9716522 54.10 1.31 4.85 0.10 10.41 4976
9836930 74.41 1.60 5.88 0.10 9.84 4869
9835626 53.91 1.50 5.40 0.11 10.72 4652
9714063 42.31 1.34 4.51 0.10 10.65 4914
9529974 33.35 1.40 4.03 0.10 11.47 4775
9530396 83.08 2.49 6.76 0.12 11.87 4849
9713083 41.70 1.97 4.58 0.10 9.93 4826
9772366 75.00 3.54 6.75 0.14 9.69 4634
9712888 33.09 1.29 4.01 0.09 10.39 4711
9712510 33.40 1.11 3.72 0.08 11.89 4590
9406638 39.39 1.29 4.31 0.09 11.36 4744
9406415 59.28 2.02 5.16 0.10 9.93 5056
9591097 34.65 1.80 4.16 0.13 11.52 4860
9711231 46.93 1.14 5.11 0.11 11.15 4801
9711269 64.05 1.46 6.35 0.13 9.79 4591
9711492 50.76 1.17 5.09 0.11 11.12 4955
9650046 67.83 1.35 6.00 0.11 11.61 4999
9650527 54.70 1.88 5.24 0.11 11.76 4986
9589638 39.35 0.97 4.37 0.11 11.74 4865
9650881 37.12 1.09 4.05 0.08 11.94 4784
9405269 37.84 0.80 4.22 0.08 10.39 4737
10282002 30.30 0.95 3.65 0.08 11.40 4651
10083480 32.22 1.83 4.00 0.08 11.37 5143
9898999 35.77 0.91 3.95 0.09 11.99 4647
9958522 36.66 0.98 4.09 0.09 11.84 4757
10018923 40.84 0.93 4.34 0.09 11.96 4598
10018973 32.85 2.04 4.00 0.09 11.11 4676
10018239 31.21 1.01 3.95 0.09 11.18 4639
10213931 42.04 1.43 4.54 0.11 11.31 4727
10280586 31.46 1.15 3.81 0.08 11.41 4623
10148026 70.84 2.11 6.33 0.12 11.24 5138
10080974 41.46 0.87 4.56 0.14 12.00 5010
9957219 36.00 1.18 4.25 0.08 9.88 4790
10212620 48.78 1.20 4.87 0.11 11.12 4790
10147072 69.08 3.12 6.13 0.11 11.46 5043
9835790 61.73 1.17 5.74 0.12 10.95 4934
9956345 88.89 2.00 8.06 0.20 11.92 4753
10145279 30.44 0.74 3.59 0.07 11.72 4795
10016093 31.24 0.67 3.77 0.08 11.85 4756
9893889 30.75 0.84 3.80 0.09 10.34 4711
9833073 31.87 1.05 3.62 0.08 11.44 4689
6762022 40.48 0.97 4.41 0.08 11.53 4862
7184978 34.16 0.93 3.86 0.10 12.34 4611
7102068 55.73 1.55 5.89 0.16 12.40 4781
7266674 31.01 1.13 3.90 0.08 12.03 4665
7429055 60.58 1.58 6.09 0.13 11.25 4624
7347189 41.57 2.22 4.04 0.09 10.84 4788
6762612 40.14 1.38 4.33 0.09 12.31 4897
6933666 34.42 1.80 3.88 0.09 12.07 4815
7186542 41.17 1.05 4.25 0.09 11.92 4746
7103297 38.60 0.99 4.36 0.10 11.76 4892
7186274 32.41 0.98 4.02 0.09 12.14 4845
7267593 47.11 1.23 5.06 0.11 12.42 4774
7103666 34.62 1.42 4.16 0.09 11.42 4833
7187059 54.61 1.14 5.64 0.12 11.95 4785
6935260 42.66 0.97 4.59 0.12 10.84 4798
7020392 31.96 1.39 4.04 0.09 12.16 4801
6850417 36.43 1.19 4.09 0.11 10.97 4866
6850177 45.23 1.01 4.58 0.08 11.16 4720
6936990 39.09 1.26 4.18 0.09 12.01 4633
6851499 51.90 1.27 5.60 0.11 10.70 4702
6938892 31.07 1.02 3.90 0.14 12.46 4759
7108501 51.28 1.35 4.80 0.09 11.02 5091
7108536 30.35 1.66 4.00 0.09 11.98 4893
7108646 30.81 1.73 3.75 0.11 12.31 4797
6854095 31.13 1.08 3.88 0.09 11.76 4880
6768319 53.61 1.09 5.58 0.13 11.57 4623
6854391 61.91 1.75 5.69 0.11 11.10 4911
6768355 37.25 2.57 4.18 0.09 11.39 4907
6768654 50.29 1.59 5.20 0.12 11.95 4842
7109120 60.53 1.74 5.96 0.14 11.17 4541
6940048 32.94 2.32 4.05 0.09 10.31 4855
7025721 37.88 0.90 4.34 0.08 10.90 4896
7191673 32.21 0.92 3.61 0.08 10.70 4664
7273426 30.80 0.76 3.79 0.11 11.39 4713
7273176 30.15 1.49 3.91 0.11 11.88 4926
6271732 32.57 0.68 4.04 0.09 9.98 4771
6428974 41.24 2.01 4.58 0.09 11.23 4825
6591027 53.89 1.21 5.38 0.12 11.90 4788
6590363 31.12 1.01 3.60 0.08 11.01 4659
6508300 34.79 1.07 4.12 0.08 12.43 4800
6676885 35.61 0.85 4.12 0.10 12.34 4746
6508328 37.99 0.86 4.27 0.09 11.69 4708
6508943 34.57 0.71 4.04 0.08 11.59 4747
6676788 30.00 1.32 4.30 0.15 12.05 4898
6192431 35.29 0.79 4.09 0.08 10.79 4616
6273063 31.80 0.71 3.64 0.07 9.70 4515
6764229 60.33 1.48 6.07 0.12 11.71 4604
6849167 35.57 0.99 4.24 0.10 10.98 4947
6677653 71.56 1.55 5.97 0.72 10.84 5014
6764026 81.83 2.24 7.60 0.21 12.22 4730
6592627 45.59 1.23 4.80 0.09 12.39 4736
6678428 34.56 1.07 4.25 0.09 11.39 4800
6678432 55.97 1.29 5.67 0.14 10.72 4564
6593240 32.16 0.86 4.27 0.11 10.91 4816
6509721 32.94 0.74 3.76 0.08 12.09 4546
6593623 37.99 0.83 4.15 0.08 11.61 4666
6679278 34.89 0.95 4.12 0.09 12.18 4797
6595127 34.35 1.25 3.95 0.10 12.05 4454
6680386 31.00 1.34 3.92 0.09 11.24 4977
6594505 35.51 0.91 4.04 0.10 11.66 4939
6853465 85.58 1.80 7.41 0.17 11.83 4917
6681414 40.13 1.03 4.60 0.11 11.38 4713
6681565 73.68 2.26 6.67 0.13 12.28 4692
7672969 30.45 1.05 3.81 0.11 10.76 4736
7744204 52.41 1.22 5.16 0.10 11.17 4962
7435143 62.93 1.32 6.16 0.13 11.99 4532
7518352 75.93 1.69 7.43 0.18 10.81 4943
7352718 35.42 1.45 3.85 0.09 11.75 4760
7189610 35.35 0.88 4.14 0.10 10.47 4839
7190047 30.48 0.73 3.94 0.11 11.47 4780
7596701 44.64 1.17 4.95 0.12 12.16 4829
7516687 35.10 1.08 4.06 0.09 11.40 4614
7597056 35.04 1.52 4.18 0.14 12.04 4699
7597230 39.44 1.52 4.18 0.09 11.92 4801
7188504 30.46 0.77 3.92 0.08 10.04 4654
7270142 52.62 1.48 5.42 0.11 11.69 4553
7672292 52.45 1.16 5.57 0.14 12.26 4763
7671562 30.12 0.69 3.77 0.08 11.65 4760
7743176 30.12 1.27 3.71 0.10 11.42 4980
7515137 68.26 2.09 6.70 0.14 12.15 4658
7431665 50.98 2.05 5.45 0.11 10.97 4729
7593843 34.16 1.59 4.14 0.09 11.64 4823
7430868 52.81 1.55 5.64 0.13 10.29 4650
7348314 84.91 2.23 7.84 0.19 12.15 4693
7667657 43.86 0.97 4.39 0.09 11.88 4926
7428418 35.64 0.96 4.12 0.09 9.93 4795
7592356 31.13 1.00 3.95 0.09 11.51 4878
7346442 48.28 1.03 5.23 0.11 11.55 4771
7346365 51.94 1.05 5.28 0.10 11.70 4667
7265189 85.01 1.78 8.43 0.17 12.02 5113
7591481 35.26 1.14 4.19 0.11 12.02 4733
7510604 33.87 0.76 4.09 0.10 11.41 4894
7591311 36.29 0.91 3.65 0.08 11.91 4608
7265075 31.90 0.72 3.93 0.09 12.14 4802
7345186 34.94 0.84 4.02 0.10 12.37 4521
7264736 68.29 1.30 6.84 0.14 12.28 4710
7017044 31.72 0.70 3.96 0.12 10.62 4831
8088198 36.49 0.91 4.11 0.09 12.26 4841
7950550 61.00 1.54 5.99 0.12 11.00 4888
8088244 30.63 1.63 4.17 0.10 11.63 4881
7949599 34.00 0.84 4.05 0.09 11.03 4730
7949585 40.45 1.18 4.48 0.10 12.00 5008
7949258 34.27 0.89 4.02 0.09 11.79 4682
8154541 39.87 1.05 4.22 0.09 11.15 4847
7594865 30.96 0.89 3.88 0.11 11.96 4902
7670419 30.72 1.58 3.78 0.10 11.31 4651
7670489 35.85 0.93 4.03 0.09 11.79 4748
8288164 30.69 0.69 4.12 0.12 12.07 4797
8154383 65.80 1.34 6.35 0.13 10.88 4743
8086192 74.87 1.93 7.04 0.14 11.53 4797
7948086 42.37 1.22 4.45 0.10 11.29 4977
7809908 35.92 0.87 4.07 0.09 12.35 4835
8016118 83.70 1.95 7.46 0.21 11.22 5164
7808227 32.25 0.69 4.08 0.09 11.52 5007
7807614 31.70 0.76 3.85 0.08 11.55 4678
5339823 41.05 1.27 4.27 0.08 11.35 4758
5426041 50.80 1.16 5.01 0.10 11.51 4582
5597965 54.92 1.68 5.52 0.14 10.96 4678
5597397 45.30 0.94 5.05 0.11 12.23 4613
5855568 36.61 0.81 4.21 0.08 11.88 4917
5770031 34.86 1.12 4.16 0.11 12.36 4958
5512910 39.98 1.33 4.24 0.09 13.04 4872
5427229 43.24 1.17 4.51 0.14 12.12 4773
5512777 30.93 0.90 4.06 0.09 11.23 4721
5341131 63.34 2.47 5.70 0.11 12.19 4717
5770923 80.83 1.54 6.92 0.13 10.73 4864
