id nu_max nu_max_err delta_nu delta_nu_err mag T_eff
11617501 42.83 1.07 4.70 0.10 11.90 4744
11514322 60.46 1.39 5.70 0.12 11.27 4810
11410549 36.86 1.36 4.13 0.09 10.40 4804
11357686 55.69 1.39 5.84 0.15 11.79 4652
11463411 51.71 1.46 4.54 0.09 10.89 4992
11462972 42.92 1.34 4.55 0.10 9.88 4797
11463450 38.68 1.17 4.14 0.08 12.14 4582
11669622 35.02 2.26 4.01 0.10 11.19 4968
11720493 34.04 0.77 4.01 0.10 12.10 5002
11567572 57.10 3.25 5.42 0.15 11.45 4918
11568605 48.77 1.08 4.83 0.10 10.72 4671
11567563 43.71 2.09 4.37 0.12 11.61 4687
11412190 32.44 0.70 4.20 0.10 12.01 4971
11518492 52.61 1.10 5.32 0.11 11.21 4628
11413158 56.95 1.66 4.97 0.09 10.51 4871
11465784 34.73 0.75 4.22 0.08 11.64 4806
11569659 31.69 1.75 4.08 0.09 11.51 5036
11362947 72.91 1.77 6.35 0.13 11.99 5034
11415370 38.66 0.95 4.40 0.10 12.16 4800
11519450 71.05 1.62 6.80 0.13 12.31 4804
11623012 36.17 1.13 4.27 0.09 11.58 4810
11621486 36.21 0.99 4.12 0.11 11.50 4863
11623195 37.25 2.02 4.22 0.10 12.24 4671
11622144 41.00 1.16 4.27 0.10 12.21 4782
11521155 40.66 1.01 4.52 0.11 12.20 4820
2436688 77.19 3.79 6.17 0.63 15.15 4608
11572172 31.82 0.96 3.94 0.08 10.75 4690
11521197 67.85 1.54 6.13 0.12 11.50 4809
11468340 41.81 1.27 4.71 0.15 11.76 4845
11674666 32.46 0.93 4.02 0.10 11.92 4807
11673900 43.00 0.87 4.56 0.11 11.46 4659
11674692 84.45 1.74 6.97 0.14 11.50 4884
11775398 33.26 1.48 4.16 0.10 10.23 4654
11775511 47.27 1.05 5.21 0.11 10.31 4590
11090395 37.42 2.16 4.20 0.09 11.47 4910
11037290 42.46 1.18 4.41 0.08 10.39 4777
11250341 50.19 2.18 5.12 0.10 12.47 4626
11252233 31.49 0.72 3.73 0.08 11.69 4795
11357931 36.16 0.84 4.14 0.09 11.43 4953
11197457 39.71 1.00 4.46 0.10 11.53 4907
11145563 30.30 0.90 3.85 0.10 11.78 5005
11146230 32.23 2.18 4.40 0.09 10.53 5024
11146152 32.00 0.74 3.56 0.07 11.13 4615
11145672 60.27 1.49 5.55 0.13 11.95 5044
11359175 35.32 1.34 4.18 0.08 11.61 4878
11358755 37.03 0.77 3.99 0.09 11.46 4667
11358607 34.18 0.88 4.13 0.11 12.12 4884
11146647 30.52 0.82 3.36 0.08 11.67 4658
11199105 32.02 1.67 3.76 0.09 11.62 4589
11199783 45.14 1.03 4.68 0.13 11.47 4944
11252706 41.73 0.83 4.51 0.08 11.69 4881
11360886 44.98 1.19 4.19 0.08 11.06 5000
11413138 46.02 1.44 4.60 0.12 11.54 4591
11200573 33.66 1.07 4.04 0.11 11.77 4774
11307599 35.58 1.20 4.17 0.18 11.54 4995
11308784 61.58 1.17 6.12 0.13 11.45 4748
11308660 36.86 0.85 4.28 0.09 10.91 4674
11414700 37.72 0.94 4.22 0.09 11.37 4774
