# id nu_max nu_max_err delta_nu delta_nu_err mag T_eff
11126673 55.80 2.70 5.65 0.11 9.68 4731
8677342 51.30 1.10 5.18 0.10 11.29 4864
11702195 50.90 1.20 5.59 0.13 10.64 4708
12122151 51.10 1.30 5.06 0.10 9.71 4727
6591027 53.90 1.20 5.38 0.12 11.90 4788
5426041 50.80 1.20 5.01 0.10 11.51 4582
11190322 54.50 1.10 5.45 0.12 11.97 4621
9269772 57.80 1.30 5.88 0.12 11.51 4687
9003765 59.20 1.20 6.02 0.13 11.48 4728
7102068 55.70 1.60 5.89 0.16 12.40 4781
