# id nu_max nu_max_err delta_nu delta_nu_err mag T_eff
11308784 61.60 1.20 6.12 0.13 11.45 4748
10023439 64.80 1.50 6.47 0.13 11.22 4710
8872046 64.90 1.30 6.46 0.13 12.21 4866
11661782 60.50 1.30 5.76 0.12 11.14 4974
11721374 60.00 1.30 5.92 0.12 11.16 4664
7429055 60.60 1.60 6.09 0.13 11.25 4624
9821622 63.70 1.50 5.91 0.19 12.02 4982
11298714 61.60 1.40 5.88 0.13 11.15 4628
10459696 61.00 1.50 5.88 0.13 11.11 4767
10527754 60.00 1.20 5.94 0.12 11.83 4592
